# transport_s=60
# scanner_families=Litho_BE_110;Litho_BE_93;Litho_BE_99;Litho_FE_111;Litho_FE_35;Litho_FE_92;Litho_FE_98
PART	LAYER	RETICLE	COPIES
part_4	565_Litho	R_part_4_565_Litho	1
part_4	571_Litho	R_part_4_571_Litho	1
part_4	596_Litho	R_part_4_596_Litho	1
part_4	620_Litho	R_part_4_620_Litho	1
part_4	639_Litho	R_part_4_639_Litho	1
part_5	065_Litho	R_part_5_065_Litho	1
part_5	072_Litho	R_part_5_072_Litho	1
part_5	079_Litho	R_part_5_079_Litho	1
part_5	086_Litho	R_part_5_086_Litho	1
part_5	092_Litho	R_part_5_092_Litho	1
part_5	122_Litho	R_part_5_122_Litho	1
part_5	135_Litho	R_part_5_135_Litho	1
part_5	144_Litho	R_part_5_144_Litho	1
part_5	174_Litho	R_part_5_174_Litho	1
part_5	186_Litho	R_part_5_186_Litho	1
part_5	345_Litho	R_part_5_345_Litho	1
part_5	390_Litho	R_part_5_390_Litho	1
part_5	520_Litho	R_part_5_520_Litho	1
part_5	545_Litho	R_part_5_545_Litho	1
part_5	551_Litho	R_part_5_551_Litho	1
part_5	565_Litho	R_part_5_565_Litho	1
part_5	596_Litho	R_part_5_596_Litho	1
part_5	650_Litho	R_part_5_650_Litho	1
part_5	661_Litho	R_part_5_661_Litho	1
part_6	072_Litho	R_part_6_072_Litho	1
part_6	079_Litho	R_part_6_079_Litho	1
part_6	092_Litho	R_part_6_092_Litho	1
part_6	158_Litho	R_part_6_158_Litho	1
part_6	161_Litho	R_part_6_161_Litho	1
part_6	186_Litho	R_part_6_186_Litho	1
part_6	365_Litho	R_part_6_365_Litho	1
part_6	386_Litho	R_part_6_386_Litho	1
part_6	390_Litho	R_part_6_390_Litho	1
part_6	401_Litho	R_part_6_401_Litho	1
part_6	451_Litho	R_part_6_451_Litho	1
part_6	527_Litho	R_part_6_527_Litho	1
part_6	545_Litho	R_part_6_545_Litho	1
part_6	551_Litho	R_part_6_551_Litho	1
part_6	590_Litho	R_part_6_590_Litho	1
part_6	596_Litho	R_part_6_596_Litho	1
part_6	614_Litho	R_part_6_614_Litho	1
part_6	620_Litho	R_part_6_620_Litho	1
part_6	639_Litho	R_part_6_639_Litho	1
part_6	650_Litho	R_part_6_650_Litho	1
part_7	016_Litho	R_part_7_016_Litho	1
part_7	037_Litho	R_part_7_037_Litho	1
part_7	065_Litho	R_part_7_065_Litho	1
part_7	072_Litho	R_part_7_072_Litho	1
part_7	086_Litho	R_part_7_086_Litho	1
part_7	135_Litho	R_part_7_135_Litho	1
part_7	158_Litho	R_part_7_158_Litho	1
part_7	161_Litho	R_part_7_161_Litho	1
part_7	167_Litho	R_part_7_167_Litho	1
part_7	186_Litho	R_part_7_186_Litho	1
part_7	386_Litho	R_part_7_386_Litho	1
part_7	401_Litho	R_part_7_401_Litho	1
part_7	413_Litho	R_part_7_413_Litho	1
part_7	451_Litho	R_part_7_451_Litho	1
part_7	498_Litho	R_part_7_498_Litho	1
part_7	520_Litho	R_part_7_520_Litho	1
part_7	527_Litho	R_part_7_527_Litho	1
part_7	545_Litho	R_part_7_545_Litho	1
part_7	590_Litho	R_part_7_590_Litho	1
part_7	596_Litho	R_part_7_596_Litho	1
part_7	639_Litho	R_part_7_639_Litho	1
part_7	661_Litho	R_part_7_661_Litho	1
part_8	016_Litho	R_part_8_016_Litho	1
part_8	072_Litho	R_part_8_072_Litho	1
part_8	086_Litho	R_part_8_086_Litho	1
part_8	122_Litho	R_part_8_122_Litho	1
part_8	135_Litho	R_part_8_135_Litho	1
part_8	186_Litho	R_part_8_186_Litho	1
part_8	225_Litho	R_part_8_225_Litho	1
part_8	365_Litho	R_part_8_365_Litho	1
part_8	413_Litho	R_part_8_413_Litho	1
part_8	442_Litho	R_part_8_442_Litho	1
part_8	451_Litho	R_part_8_451_Litho	1
part_8	520_Litho	R_part_8_520_Litho	1
part_8	545_Litho	R_part_8_545_Litho	1
part_8	571_Litho	R_part_8_571_Litho	1
part_8	590_Litho	R_part_8_590_Litho	1
part_8	596_Litho	R_part_8_596_Litho	1
part_8	614_Litho	R_part_8_614_Litho	1
part_8	620_Litho	R_part_8_620_Litho	1
part_8	639_Litho	R_part_8_639_Litho	1
part_8	650_Litho	R_part_8_650_Litho	1
part_8	661_Litho	R_part_8_661_Litho	1
part_9	065_Litho	R_part_9_065_Litho	1
part_9	079_Litho	R_part_9_079_Litho	1
part_9	086_Litho	R_part_9_086_Litho	1
part_9	122_Litho	R_part_9_122_Litho	1
part_9	135_Litho	R_part_9_135_Litho	1
part_9	186_Litho	R_part_9_186_Litho	1
part_9	225_Litho	R_part_9_225_Litho	1
part_9	345_Litho	R_part_9_345_Litho	1
part_9	365_Litho	R_part_9_365_Litho	1
part_9	390_Litho	R_part_9_390_Litho	1
part_9	413_Litho	R_part_9_413_Litho	1
part_9	442_Litho	R_part_9_442_Litho	1
part_9	498_Litho	R_part_9_498_Litho	1
part_9	520_Litho	R_part_9_520_Litho	1
part_9	527_Litho	R_part_9_527_Litho	1
part_9	545_Litho	R_part_9_545_Litho	1
part_9	596_Litho	R_part_9_596_Litho	1
part_9	639_Litho	R_part_9_639_Litho	1
part_9	650_Litho	R_part_9_650_Litho	1
